"CALORIAS","SODIO","TIPO"
86,358,"C"
87,359,"C"
94,387,"C"
99,357,"C"
102,396,"C"
102,542,"C"
106,383,"C"
107,144,"B"
111,300,"A"
113,513,"C"
129,430,"C"
131,317,"A"
132,253,"A"
132,375,"C"
135,298,"A"
135,405,"B"
135,426,"C"
136,393,"B"
138,339,"B"
139,322,"A"
139,386,"B"
140,428,"B"
141,386,"A"
142,513,"C"
143,581,"C"
144,545,"C"
146,387,"B"
146,522,"C"
147,360,"B"
148,375,"A"
149,319,"A"
149,322,"A"
152,330,"A"
152,588,"C"
153,372,"B"
153,401,"A"
157,440,"A"
158,370,"A"
170,528,"C"
172,496,"B"
173,458,"B"
175,479,"A"
175,507,"B"
176,425,"A"
179,405,"B"
181,477,"A"
182,473,"B"
184,482,"A"
186,495,"A"
190,545,"B"
190,587,"A"
190,645,"A"
191,506,"B"
195,511,"B"
